applicant_id,full_name,age,gender,marital_status,education_level,city,state,employment_type,years_employed,annual_income_inr,monthly_expenses_inr,loan_purpose,loan_amount_inr,loan_tenure_months,credit_score,debt_to_income_ratio,existing_loans,previous_defaults,property_ownership,has_collateral,collateral_value_inr,co_applicant,bank_account_age_years,num_credit_inquiries_6m,savings_balance_inr,risk_level,approval_status,interest_rate_pct,application_date,processing_branch,income_to_loan_ratio,savings_months_cover,age_group,application_month
LOAN100000,Sneha Agarwal,59,Other,Widowed,High School,Ahmedabad,Gujarat,Self-Employed,6.4,605813,34779,Gold Loan,381764,240,685,0.338,2,0,Company Provided,Yes,501885,No,17.6,6,759910,medium,Approved,12.49,2026-02-17,Pune,1.5869,21.85,51–64,2026-02
LOAN100001,Lata Patel,56,Other,Widowed,Master's,Rajkot,Gujarat,Self-Employed,4.9,305179,13298,Business Loan,5263968,180,805,0.184,2,0,Rented,Yes,7180280,No,6.5,5,198318,low,Approved,9.32,2025-11-20,Delhi,0.058,14.91,51–64,2025-11
LOAN100002,Sunita Shah,62,Other,Single,High School,Ahmedabad,Gujarat,Freelancer,16.7,209334,6546,Personal Loan,447099,24,760,0.287,2,0,Rented,No,0,No,5.6,5,570591,low,Approved,10.74,2026-02-16,Mumbai,0.4682,87.17,51–64,2026-02
LOAN100003,Shreya Mehta,64,Female,Married,PhD,Indore,Madhya Pradesh,Self-Employed,15.2,336076,12004,Car Loan,1227579,24,747,0.361,2,0,Parental,No,0,No,11.9,3,659961,low,Approved,11.37,2026-02-15,Ahmedabad,0.2738,54.98,51–64,2026-02
LOAN100004,Divya Reddy,59,Female,Single,PhD,Nagpur,Maharashtra,Business Owner,16.2,2021794,108778,Business Loan,755477,180,613,0.436,2,1,Rented,Yes,1087910,Yes,6.9,0,5676261,medium,Approved,14.42,2025-12-07,Pune,2.6762,52.18,51–64,2025-12
LOAN100005,Rahul Nair,29,Female,Widowed,Master's,Rajkot,Gujarat,Business Owner,7.9,2917516,89298,Car Loan,1512596,48,675,0.382,2,0,Parental,Yes,2209033,Yes,3.9,1,4849820,medium,Approved,12.91,2026-03-18,Mumbai,1.9288,54.31,21–30,2026-03
LOAN100006,Aarav Agarwal,55,Male,Married,High School,Lucknow,Uttar Pradesh,Unemployed,0.0,54738,2658,Home Loan,4360991,24,539,0.825,1,2,Owned,No,0,Yes,12.9,7,63000,high,Rejected,0.0,2025-11-27,Kolkata,0.0126,23.7,51–64,2025-11
LOAN100007,Pooja Sharma,62,Other,Widowed,Diploma,Ahmedabad,Gujarat,Freelancer,8.5,572787,16362,Home Loan,4263513,12,728,0.286,1,0,Owned,Yes,4230762,Yes,6.4,4,1075896,low,Approved,11.37,2026-03-01,Hyderabad,0.1343,65.76,51–64,2026-03
LOAN100008,Vinod Singh,28,Other,Single,High School,Jaipur,Rajasthan,Business Owner,8.4,2927003,112716,Education Loan,1982805,24,689,0.399,4,0,Company Provided,Yes,2002597,No,1.9,5,227949,medium,Approved,12.71,2026-03-22,Delhi,1.4762,2.02,21–30,2026-03
LOAN100009,Meera Mehta,38,Other,Widowed,Bachelor's,Mumbai,Maharashtra,Freelancer,17.2,349171,9271,Education Loan,1093957,84,765,0.298,2,0,Owned,Yes,1579024,No,22.5,4,597904,low,Approved,10.69,2026-04-26,Bangalore,0.3192,64.49,31–40,2026-04
LOAN100010,Pooja Gupta,49,Other,Married,PhD,Nagpur,Maharashtra,Business Owner,15.2,2008202,106076,Home Loan,7774159,48,714,0.305,2,0,Company Provided,Yes,11274182,No,9.9,4,4482805,low,Approved,11.75,2025-11-09,Delhi,0.2583,42.26,41–50,2025-11
LOAN100011,Shreya Shah,44,Other,Widowed,Bachelor's,Pune,Maharashtra,Unemployed,0.0,5964,154,Gold Loan,395148,84,688,0.271,1,1,Parental,No,0,No,12.5,7,6558,medium,Approved,12.1,2026-01-28,Pune,0.0151,42.58,41–50,2026-01
LOAN100012,Rohan Singh,53,Female,Married,Master's,Vadodara,Gujarat,Self-Employed,12.6,255246,12436,Gold Loan,331720,120,790,0.13,2,0,Rented,No,0,No,8.3,4,92992,low,Approved,9.35,2026-05-03,Ahmedabad,0.7695,7.48,51–64,2026-05
LOAN100013,Neha Pillai,48,Female,Single,High School,Pune,Maharashtra,Freelancer,2.2,661676,18518,Personal Loan,408092,60,787,0.136,2,0,Owned,No,0,No,21.7,0,57171,low,Approved,9.44,2026-01-19,Pune,1.6214,3.09,41–50,2026-01
LOAN100014,Karan Iyer,44,Female,Widowed,Diploma,Jaipur,Rajasthan,Salaried,19.6,711649,19292,Gold Loan,152432,240,652,0.612,5,0,Company Provided,Yes,140031,No,10.8,3,1052160,medium,Rejected,0.0,2026-04-15,Hyderabad,4.6686,54.54,41–50,2026-04
LOAN100015,Amit Reddy,21,Other,Widowed,Bachelor's,Mumbai,Maharashtra,Business Owner,4.3,2130137,84511,Car Loan,1630819,180,643,0.488,3,0,Company Provided,No,0,Yes,7.9,6,3897028,medium,Approved,14.08,2025-11-08,Chennai,1.3062,46.11,21–30,2025-11
